Category,Film,Nominee,Winner,Year,Oscarstat_previousnominations_bestdirector,Oscarstat_previouswins_bestdirector,Rating_IMDB,Release_date,Rating_rtcritic,Rating_rtaudience,Genre_biography,Genre_crime,Genre_comedy,Genre_drama,Genre_action,Genre_horror,Genre_fantasy,Genre_sci-fi,Genre_mystery,Genre_music,Genre_romance,Genre_history,Genre_war,Genre_filmnoir,Genre_thriller,Genre_adventure,Genre_family,Genre_sport,Genre_western,MPAA_rating,MPAA_G,MPAA_PG,MPAA_PG-13,MPAA_R,MPAA_NC-17,Release_Q1,Release_Q2,Release_Q3,Release_Q4,Oscarstat_totalnoms,Nom_Oscar_bestfilm,Nom_Criticschoice,Nonom_Criticschoice,Win_Criticschoice,Nowin_Criticschoice,Nom_DGA,Win_DGA,Nom_GoldenGlobe_bestdirector,Win_GoldenGlobe_bestdirector,Nom_BAFTA,Win_BAFTA
Director,The Banshees of Inisherin,Martin McDonagh,0,2023,0,0,7.7,2022-11-04,96,75,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,1,9,1,1,0,0,1,1,0,1,0,0,0
Director,Everything Everywhere All at Once,"Daniel Kwan, Daniel Scheinert",1,2023,0,0,7.8,2022-04-08,94,79,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,R,0,0,0,1,0,0,1,0,0,11,1,1,0,1,0,1,1,1,0,1,0
Director,The Fabelmans,Steven Spielberg,0,2023,8,2,7.5,2022-11-23,92,83,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,0,0,1,0,0,0,0,0,1,7,1,1,0,0,1,1,0,1,1,0,0
Director,Tár,Todd Field,0,2023,0,0,7.4,2022-10-28,91,74,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,0,1,6,1,1,0,0,1,1,0,0,0,1,0
Director,Triangle of Sadness,Ruben Östlund,0,2023,0,0,7.3,2022-09-18,71,80,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,0,1,0,3,1,0,1,0,1,0,0,0,0,0,0
