Category,Film,Nominee,Year,Winner,Rating_IMDB,Release_date,Rating_rtaudience,Rating_rtcritic,Oscarstat_totalnoms,Release_Q1,Release_Q2,Release_Q3,Release_Q4,Nom_BAFTA,Win_BAFTA,Nom_GoldenGlobe_comedy-leadacting,Win_GoldenGlobe_comedy-leadacting,Nom_GoldenGlobe_drama-leadacting,Win_GoldenGlobe_drama-leadacting,Nom_GoldenGlobe_supportingacting,Win_GoldenGlobe_supportingacting,Oscarstat_previousnominations_acting,Oscarstat_previouswins_acting,Oscarstat_previousnominee_acting,Oscarstat_previouswinner_acting,Nom_Oscar_bestfilm,Birthyear,Age,Age_[0-25],Age_[25-35],Age_[35-45],Age_[45-55],Age_[55-65],Age_[65-75] ,Age_[75+] ,Genre_action,Genre_adventure,Genre_biography,Genre_crime,Genre_comedy,Genre_drama,Genre_horror,Genre_fantasy,Genre_sci-fi,Genre_mystery,Genre_music,Genre_romance,Genre_history,Genre_thriller,Genre_war,Genre_sport,Genre_family,Genre_filmnoir,Genre_western,MPAA_rating,MPAA_G,MPAA_PG,MPAA_PG-13,MPAA_R,MPAA_NC-17,Nowin_Criticschoice,Win_Criticschoice,Nonom_Criticschoice,Nom_Criticschoice,Nowin_SAG_acting,Win_SAG_acting,Nonom_SAG_acting,Nom_SAG_acting,Nowin_SAG_bestcast,Win_SAG_bestcast,Nonom_SAG_bestcast,Nom_SAG_bestcast,Female
Actress,The Eyes of Tammy Faye,Jessica Chastain,2022,1,6.7,Sep 2021,87,70,2,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1977,45,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,PG-13,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1
Actress,The Lost Daughter,Olivia Colman,2022,0,6.7,31 Dec 2021,48,95,3,0,0,0,1,0,0,0,0,1,0,0,0,2,1,1,1,0,1974,48,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
Actress,Parallel Mothers,Penélope Cruz,2022,0,7.1,10 Mar 2022,78,97,2,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,1974,48,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
Actress,Being the Ricardos,Nicole Kidman,2022,0,6.6,21 Dec 2021,75,68,3,0,0,0,1,0,0,0,0,1,1,0,0,4,1,1,1,0,1967,55,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,R,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1
Actress,Spencer,Kristen Stewart,2022,0,6.7,13 Jan 2022,52,83,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1990,32,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1
Actor,"Tick, Tick... Boom!",Andrew Garfield,2022,0,7.5,19 Nov 2021,96,88,2,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1983,39,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0
Actor,Being the Ricardos,Javier Bardem,2022,0,6.6,21 Dec 2021,75,68,3,0,0,0,1,0,0,0,0,1,0,0,0,3,1,1,1,0,1969,53,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,R,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0
Actor,The Power of the Dog,Benedict Cumberbatch,2022,0,6.9,18 Nov 2021,79,94,12,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1976,46,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,R,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0
Actor,King Richard,Will Smith,2022,1,7.5,24 Feb 2022,98,90,6,1,0,0,0,1,1,0,0,1,1,0,0,2,0,1,0,1,1968,54,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,PG-13,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0
Actor,The Tragedy of Macbeth,Denzel Washington,2022,0,7.2,14 Jan 2022,77,93,3,1,0,0,0,0,0,0,0,1,0,0,0,8,2,1,1,0,1954,68,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,R,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0
