Category,Film,Nominee,Year,Winner,Oscarstat_previousnominations_bestdirector,Oscarstat_previouswins_bestdirector,Rating_IMDB,Release_date,MPAA_rating,Rating_rtcritic,Rating_rtaudience,Genre_biography,Genre_crime,Genre_comedy,Genre_drama,Genre_horror,Genre_fantasy,Genre_sci-fi,Genre_mystery,Genre_music,Genre_romance,Genre_history,Genre_war,Genre_filmnoir,Genre_thriller,Genre_adventure,Genre_family,Genre_sport,Genre_western,Genre_action,MPAA_G,MPAA_PG,MPAA_PG-13,MPAA_R,MPAA_NC-17,Release_Q1,Release_Q2,Release_Q3,Release_Q4,Oscarstat_totalnoms,Nom_Oscar_bestfilm,Nom_Criticschoice,Nonom_Criticschoice,Win_Criticschoice,Nowin_Criticschoice,Nom_DGA,Win_DGA,Nom_GoldenGlobe_bestdirector,Win_GoldenGlobe_bestdirector,Nom_BAFTA,Win_BAFTA
Director,Anora,Sean Baker,2025,,0,0,7.8,2024-11-08,R,93,90,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,1,1,0,0,1,1,1,1,0,1,0
Director,The Brutalist,Brady Corbet,2025,,0,0,8,2025-01-24,R,93,81,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,1,1,0,0,1,1,0,1,1,1,1
Director,A Complete Unknown,James Mangold,2025,,0,0,7.7,2024-12-25,R,80,96,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,1,0,1,0,1,1,0,0,0,0,0
Director,Emilia Pérez,Jacques Audiard,2025,,0,0,5.9,2024-11-13,R,74,19,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,13,1,1,0,0,1,1,0,1,0,1,0
Director,The Substance,Coralie Fargeat,2025,,0,0,7.3,2024-09-20,R,89,75,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,1,1,0,0,1,0,0,1,0,1,0
