Category,Film,Nominee,Year,Winner,Rating_IMDB,Release_date,Rating_rtaudience,Rating_rtcritic,Oscarstat_totalnoms,Win_GoldenGlobe_bestdirector,Win_BAFTA,Win_DGA,Nom_GoldenGlobe_bestdirector,Nom_BAFTA,Nom_DGA,Oscarstat_previouswins_bestdirector,Oscarstat_previousnominations_bestdirector,Nom_Oscar_bestfilm,Release_Q1,Release_Q2,Release_Q3,Release_Q4,Genre_biography,Genre_crime,Genre_comedy,Genre_drama,Genre_horror,Genre_fantasy,Genre_sci-fi,Genre_mystery,Genre_music,Genre_romance,Genre_history,Genre_war,Genre_filmnoir,Genre_western,Genre_thriller,Genre_sport,Genre_family,Genre_action,Genre_adventure,MPAA_rating,MPAA_G,MPAA_PG,MPAA_PG-13,MPAA_R,MPAA_NC-17,Nowin_Criticschoice,Win_Criticschoice,Nonom_Criticschoice,Nom_Criticschoice
Director,Minari,Lee Isaac Chung,2021,,7.6,11 Dec 2020,88,98,6,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PG-13,0,0,1,0,0,1,0,0,1
Director,Promising Young Woman,Emerald Fennell,2021,,7.5,25 Dec 2020,88,91,5,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,R,0,0,0,1,0,1,0,0,1
Director,Mank,David Fincher,2021,,7,04 Dec 2020,60,83,10,0,0,0,1,0,1,0,2,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,1,0,0,1
Director,Another Round,Thomas Vinterberg,2021,,7.8,05 Nov 2020,91,92,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Rated,0,0,0,0,0,1,0,1,0
Director,Nomadland,Chloé Zhao,2021,,7.5,2021,82,94,6,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,1,0,0,1,0,1
