Category,Film,Nominee,Winner,Year,Oscarstat_previousnominations_bestdirector,Oscarstat_previouswins_bestdirector,Rating_IMDB,Release_date,MPAA_rating,Rating_rtcritic,Rating_rtaudience,Genre_biography,Genre_crime,Genre_comedy,Genre_drama,Genre_horror,Genre_fantasy,Genre_sci-fi,Genre_mystery,Genre_music,Genre_romance,Genre_history,Genre_war,Genre_filmnoir,Genre_thriller,Genre_adventure,Genre_family,Genre_sport,Genre_western,Genre_action,MPAA_G,MPAA_PG,MPAA_PG-13,MPAA_R,MPAA_NC-17,Release_Q1,Release_Q2,Release_Q3,Release_Q4,Oscarstat_totalnoms,Nom_Oscar_bestfilm,Nom_Criticschoice,Nonom_Criticschoice,Win_Criticschoice,Nowin_Criticschoice,Nom_DGA,Win_DGA,Nom_GoldenGlobe_bestdirector,Win_GoldenGlobe_bestdirector,Nom_BAFTA,Win_BAFTA
Director,Anatomy of a Fall,Justine Triet,0,2024,0,0,7.6,2024-03-22,R,96,90,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0
Director,Killers of the Flower Moon,Martin Scorsese,0,2024,9,1,7.6,2023-10-20,R,93,84,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0
Director,Maestro,Bradley Cooper,0,2024,0,0,6.5,2023-12-20,R,78,57,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0
Director,Oppenheimer,Christopher Nolan,1,2024,1,0,8.3,2023-07-21,R,93,91,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1
Director,Poor Things,Yorgos Lanthimos,0,2024,1,0,7.8,2024-02-27,R,93,80,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0
Director,The Zone of Interest,Jonathan Glazer,0,2024,0,0,7.3,2024-02-20,PG-13,93,78,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0
